Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp_C,Label
11:36:49,-0.39,-2.68,3.24,-2.34,20.09,-37.7,40.25,NON_CRASH
11:36:49,-3.42,8.16,13.52,-19.39,16.95,-28.85,39.54,NON_CRASH
11:36:49,-1.06,-4.64,6.34,8.49,-3.6,-37.18,39.59,NON_CRASH
11:36:49,2.26,4.06,19.49,17.04,-39.05,-30.62,39.59,NON_CRASH
11:36:49,4.57,-1.47,12.52,4.37,11.15,-30.37,39.68,NON_CRASH
11:36:49,-0.54,-2.56,9.41,12.03,21.85,-34.95,39.64,NON_CRASH
11:36:49,1.7,1.37,15.24,0.63,3.3,-9.8,39.64,NON_CRASH
11:36:49,-0.91,1.56,8.02,-14.33,45.34,-7.9,39.59,NON_CRASH
11:36:49,-4.72,2.83,12.36,-10.62,-25.79,-12.76,40.25,NON_CRASH
11:36:49,2.62,0.53,14.29,-22.33,-0.82,15.3,39.64,NON_CRASH
11:36:49,-5.62,-4.35,7.02,2.23,31.89,-4.23,39.64,NON_CRASH
11:36:49,0.15,-3.13,12.16,-7.57,-24.66,-7.34,39.54,NON_CRASH
11:36:49,1.51,1.84,1.46,-6.63,20.76,-5.88,38.84,NON_CRASH
11:36:49,-19.51,-3.02,13.51,14.05,-22.6,-15.19,39.59,NON_CRASH
11:36:49,0.2,6.97,9.82,-19.44,18.86,9.4,38.79,NON_CRASH
11:36:49,0.38,-0.16,7.01,6.05,24.34,-3.68,39.64,NON_CRASH
11:36:49,6.21,2.71,18.53,-30.72,-29.44,13.89,39.68,NON_CRASH
11:36:49,2.72,-1.39,10.99,-16.78,25.37,18.52,39.59,NON_CRASH
11:36:49,-8.21,-3.45,12.13,-23.5,-28.32,6.88,39.59,NON_CRASH
11:36:49,4.05,1.19,15.01,-24.23,9.68,17.19,39.64,NON_CRASH
11:36:49,0.48,0.57,7.81,-1.02,12.76,5.25,40.2,NON_CRASH
11:36:49,2.7,1.34,7.98,-14.78,-31.37,21.63,40.25,NON_CRASH
11:36:49,1.06,-1.99,8.55,-4.74,40.47,27.3,39.59,NON_CRASH
11:36:49,-5.14,-4.34,12.54,-7.84,-24.14,7.14,39.64,NON_CRASH
11:36:49,1.37,-0.77,7.69,-15.59,18.76,22.76,39.54,NON_CRASH
11:36:49,-4.45,-1.11,11.78,3.13,-1.92,15.08,39.54,NON_CRASH
11:36:49,9.99,0.57,13.01,-12.47,-15.11,21.92,39.59,NON_CRASH
11:36:49,1.89,-2.01,9.26,-21.66,22.57,15.01,38.88,NON_CRASH
11:36:49,-0.52,-2.62,16.13,-13.56,-49.76,10.44,39.64,NON_CRASH
11:36:49,4.92,-1.92,5.59,-31.23,13.47,17.73,39.54,NON_CRASH
11:36:49,-14.41,-7.9,6.48,15.02,14.29,-1.99,39.64,NON_CRASH
11:36:49,2.07,2.76,4.78,-34.5,20.66,10.78,39.59,NON_CRASH
11:36:49,-2.07,-2.82,8.91,22.76,14.3,5.25,39.54,NON_CRASH
11:36:49,-3.46,-0.39,15.9,3.57,-32.45,10.56,39.45,NON_CRASH
11:36:49,0.85,0.72,8.42,-13.4,23.21,22.75,40.2,NON_CRASH
11:36:49,-8.84,-2.69,19.61,-1.34,-25.95,-5.85,39.59,NON_CRASH
11:36:49,0.73,-0.71,7.81,-23.64,20.58,7.1,39.59,NON_CRASH
11:36:49,1.64,0.79,12.67,-12.66,-0.47,-3.28,38.88,NON_CRASH
11:36:49,4.06,-1.08,9.28,-15.58,-24.4,-20.19,39.64,NON_CRASH
11:36:49,4.18,0.56,10.3,-6.58,20.35,-23.66,39.64,NON_CRASH
11:36:49,-4.18,-2.59,15.11,19.45,11.74,-29.85,39.59,NON_CRASH
11:36:49,4.53,0.22,7.48,-4.64,54.32,-16.25,39.68,NON_CRASH
11:36:49,-1.87,-5.52,12.42,12.04,14.21,-40.56,39.64,NON_CRASH
11:36:49,0.21,2.03,8.66,-4.79,2.79,-10.42,39.54,NON_CRASH
11:36:49,0.61,-0.84,12.2,-0.27,-16.02,-29.29,38.79,NON_CRASH
11:36:49,7.02,3.9,9.61,-11.68,-0.34,-20.08,39.59,NON_CRASH
11:36:49,-4.07,-2.15,17.18,13.04,1.5,-36.74,39.59,NON_CRASH
11:36:49,1.7,-0.78,6.28,-4.5,2.87,-34.55,39.64,NON_CRASH
11:36:49,2.42,-1.79,12.19,9.11,14.04,-41.95,39.64,NON_CRASH
11:36:49,0.47,3.51,12.74,2.78,7.71,-37.96,39.64,NON_CRASH
11:36:49,5.32,0.96,10.1,-11.76,29.69,-30.89,40.25,NON_CRASH
11:36:49,-1.76,-0.3,15.23,7.98,-8.67,-22.43,39.64,NON_CRASH
11:36:49,0.88,0.53,7.63,6.28,-8.08,-4.62,39.54,NON_CRASH
11:36:49,-9.91,4.07,12.6,-16.64,9.65,-12.04,39.64,NON_CRASH
11:36:49,3.48,-0.93,17.84,21.51,-23.46,5.89,39.68,NON_CRASH
11:36:49,-2.86,5.27,8.06,-2.87,-7.68,15.56,40.25,NON_CRASH
11:36:49,-4.3,-1.54,7.85,-6.48,-3.82,-0.56,39.64,NON_CRASH
11:36:49,1.7,1.81,2.66,0.89,12.55,7.27,39.64,NON_CRASH
11:36:49,-2.11,2.98,16.8,-0.27,-12.76,10.04,39.64,NON_CRASH
11:36:49,-1.02,-1.97,7.02,4.99,22.92,13.53,39.59,NON_CRASH
11:36:49,-5.49,-3.21,13.18,10.52,-15.59,6.69,39.59,NON_CRASH
11:36:49,-0.04,-2.63,13.23,-14.34,14.63,17.95,39.64,NON_CRASH
11:36:49,0.18,-0.29,5.32,-27.52,-0.03,21.17,39.64,NON_CRASH
11:36:49,-0.32,1.39,14.73,-23.35,10.29,14.87,39.64,NON_CRASH
11:36:49,-2.71,0.38,10.51,-12.27,-0.74,13.79,39.59,NON_CRASH
11:36:49,-2.08,2.47,7.89,-25.55,-7.72,18.07,38.84,NON_CRASH
11:36:49,1.19,-1.79,12.28,-8.25,1.31,8.11,39.54,NON_CRASH
11:36:49,-2.08,0.4,6.75,-6.19,-14.05,7.41,39.64,NON_CRASH
11:36:49,-1.74,-1.27,11.34,-23.83,-8.7,15.24,38.88,NON_CRASH
11:36:49,3.09,-2.03,8.45,-1.43,16.63,25.57,39.59,NON_CRASH
11:36:49,-0.95,-1.55,10.26,1.41,7.08,11.36,39.59,NON_CRASH
11:36:49,2.95,2.14,11.99,-4.82,-11.37,24.46,38.79,NON_CRASH
11:36:49,0.41,-1.58,13.15,-11.54,8.33,22.91,38.88,NON_CRASH
11:36:49,-2.93,-3.26,15.25,-9.23,-9.64,19.78,39.59,NON_CRASH
11:36:49,-0.98,0.59,8.29,-0.96,-0.52,19.33,39.68,NON_CRASH
11:36:49,-4.41,-0.57,13.89,-10.37,-22.08,5.02,39.54,NON_CRASH
11:36:49,1.9,2.36,7.4,-6.81,24.66,22.56,39.64,NON_CRASH
11:36:49,9.4,1.56,6.69,-0.35,10.82,14.83,39.54,NON_CRASH
11:36:49,-1.54,-3.34,10.98,-14.15,14.63,25.22,39.59,NON_CRASH
11:36:49,-0.58,-4.32,15.96,2.83,-26.63,9.98,38.84,NON_CRASH
11:36:49,0.1,-1.65,8.75,-24.02,-11.05,40.47,39.54,NON_CRASH
11:36:49,1.36,-1.51,7.1,-7.11,27.81,29.98,39.54,NON_CRASH
11:36:49,0.43,-0.23,13.8,-12.5,-12.4,23.41,39.59,NON_CRASH
11:36:49,-1.27,0.4,9.29,-6.15,18.24,19.06,39.59,NON_CRASH
11:36:49,-3.67,-2.93,13.46,-8.29,-15.58,13.68,39.64,NON_CRASH
11:36:49,3.3,-2.12,12.61,-11.5,23.24,34.98,39.64,NON_CRASH
11:36:49,1.47,-3.46,9.67,-0.11,8.89,7.05,39.59,NON_CRASH
11:36:49,0.07,-2.24,10.61,-12.18,2.15,32.4,39.68,NON_CRASH
11:36:49,0.62,1.99,14.22,-12.73,4.81,30.36,39.64,NON_CRASH
11:36:49,1.14,-0.32,4.89,12.7,-51.2,18.73,39.64,NON_CRASH
11:36:49,2.36,-0.25,6.14,-11.73,18.78,33.34,39.64,NON_CRASH
11:36:49,-7.93,-3.43,16.87,9.58,-14.3,11.53,39.59,NON_CRASH
11:36:49,2.63,0.23,9,-4.67,5.98,29.4,39.59,NON_CRASH
11:36:49,-5.48,-7.84,17.24,15.99,-3.53,4.19,39.54,NON_CRASH
11:36:49,4.23,1.15,9.27,-27.76,7.2,31.08,38.79,NON_CRASH
11:36:49,2.09,-1.6,10.32,-2.89,25.1,25.74,39.54,NON_CRASH
11:36:50,4.45,-0.59,18.25,-26.16,-10.4,28.46,39.59,NON_CRASH
11:36:50,-3.29,-2.37,15.54,-14.33,-7.81,25.09,39.59,NON_CRASH
11:36:50,-2.41,0,5.6,-11.85,-51.43,24.43,39.54,NON_CRASH
11:36:50,6.59,2.3,7.14,-16.66,23.99,39.04,39.54,NON_CRASH
11:36:50,-5.45,-4.64,7.65,14.39,14.66,21.98,39.54,NON_CRASH
11:36:50,1.37,2.08,8.2,-7.58,3.67,24.92,40.25,NON_CRASH
11:36:50,-1.94,-4.52,13.53,-17.13,-22.65,2.55,38.84,NON_CRASH
11:36:50,1.64,-0.58,8.48,-22.49,-11.72,20.31,39.64,NON_CRASH
11:36:50,1.61,0.16,13.67,-18.68,32.41,24.05,39.64,NON_CRASH
11:36:50,0.62,-3.57,12.39,-8.6,-10.6,21.21,39.59,NON_CRASH
11:36:50,3.77,2.47,7.3,-15.12,30.08,48.96,39.59,NON_CRASH
11:36:50,-1.48,-3.13,19.15,-1.29,-24.72,7.53,39.54,NON_CRASH
11:36:50,8.6,5.09,3.87,-13.04,2.5,6.74,39.54,NON_CRASH
11:36:50,-5.15,-4.26,19.61,-4.74,14.76,3.6,39.59,NON_CRASH
11:36:50,-0.42,-1.85,8.37,15.98,-7.1,19.08,39.59,NON_CRASH
11:36:50,-2.68,0.11,12.5,11.22,3.62,24.29,39.59,NON_CRASH
11:36:50,-0.72,-2.32,3.93,3.59,-23.05,15.83,39.64,NON_CRASH
11:36:50,-0.58,0.85,7.81,-23.08,2.63,24.49,39.64,NON_CRASH
11:36:50,4.16,1.2,9.28,-19.22,4.95,21.04,39.68,NON_CRASH
11:36:50,4.35,1.42,13.81,-14.56,18.71,23.82,40.25,NON_CRASH
11:36:50,1.67,-0.83,13.48,9.89,-19.66,19.66,39.54,NON_CRASH
11:36:50,1.84,-0.03,3.67,4.93,-10.05,20.29,39.59,NON_CRASH
11:36:50,-8.78,-0.31,12.46,1.08,-20.83,16.2,39.64,NON_CRASH
11:36:50,-0.48,-3.53,2.08,3.82,5.79,3.78,39.59,NON_CRASH
11:36:50,3.58,4.29,11.33,-13.01,-7.29,11.77,39.59,NON_CRASH
11:36:50,-0.71,-4.06,4.92,-11.07,7.43,12.5,39.59,NON_CRASH
11:36:50,5.48,0.71,15.6,-21.04,-13.11,21.87,39.54,NON_CRASH
11:36:50,4.51,-0.9,10.94,-22.79,-13.46,22.21,39.64,NON_CRASH
11:36:50,1.48,-2.87,2.52,-2.12,-1.24,20.26,39.59,NON_CRASH
11:36:50,-1.65,-4.25,10.62,-24.03,-37.57,6.31,40.25,NON_CRASH
11:36:50,-1.07,-0.05,9.68,-5.95,26.9,10.16,38.79,NON_CRASH
11:36:50,1.11,1.94,17.39,-14.75,-9.97,10.14,39.64,NON_CRASH
11:36:50,0.72,-8.15,7.05,15.4,12.34,10.72,38.84,NON_CRASH
11:36:50,0.6,-4.79,5.83,3.95,-17.5,18.38,39.59,NON_CRASH
11:36:50,2.78,-0.62,13.19,-6.49,2.73,25.26,40.25,NON_CRASH
11:36:50,-0.16,-2.44,7.24,-3.47,3.34,22.12,39.64,NON_CRASH
11:36:50,6.4,3.17,14.8,-2.71,17.3,12.59,39.54,NON_CRASH
11:36:50,1.2,-2.95,5.45,17.02,14.17,-8.81,39.59,NON_CRASH
11:36:50,3.49,-7.97,11.95,-2.22,-36.63,-15.31,40.25,NON_CRASH
