Model,Accuracy,Precision,Recall,F1 Score,AUC-ROC
Static Thresholds,0.5315685923806117,0.36048578199052134,0.7257006559332141,0.4816940431426875,0.5
Random Forest,0.9896261849400823,0.9844404548174746,0.9809183064997018,0.9826762246117084,0.9988285709845762
1D CNN,0.9640493650509748,0.9810951760104303,0.8974358974358975,0.9374026782933665,0.9909582560531449
Vanilla LSTM,0.9608299052047934,0.9407496977025392,0.9278473464519976,0.9342539777844491,0.9912632633218248
Unsupervised LSTM Autoencoder,0.29994634233589695,0.29994634233589695,1.0,0.46147495872317007,0.6847225789781433
IntelliCrash (Bi-LSTM Gate),0.9935610803076372,0.9857904085257548,0.9928443649373881,0.9893048128342246,0.9996186647385088
