Fusion Weights (ML:CSI),Recall (%),FPR (%),F1-Score (%),Topsis Score,Rank
1.0 : 0.0,99.28,0.61,98.93,0.4102,7
0.8 : 0.2,98.99,0.43,98.99,0.5297,6
0.7 : 0.3,98.87,0.36,99.01,0.5982,4
0.6 : 0.4,98.75,0.23,99.1,0.7509,3
0.5 : 0.5,98.03,0.15,98.83,0.8567,1
0.4 : 0.6,84.02,0.13,91.17,0.8341,2
0.0 : 1.0,30.47,0.05,46.67,0.5896,5
